# Italy expansion photo credits (Wikimedia Commons, CC/PD licensed)
# public path | Commons file | license | author

highlights/bari-4.jpg | https://commons.wikimedia.org/wiki/File:Castello_normanno-svevo,_Bari_02.jpg | CC BY-SA 4.0 | GattoCeliaco
highlights/bari-5.jpg | https://commons.wikimedia.org/wiki/File:Lungomare_(Bari)_03.jpg | CC0 | Bernard Gagnon
highlights/bergamo-1.jpg | https://commons.wikimedia.org/wiki/File:Cloister_of_the_University_of_Bergamo._Italy.jpg | CC BY-SA 3.0 | Ввласенко
highlights/bergamo-2.jpg | https://commons.wikimedia.org/wiki/File:Bergamo,_Piazza_Vecchia,_2016-06_CN-01.jpg | CC BY-SA 4.0 | Steffen Schmitz
highlights/bergamo-3.jpg | https://commons.wikimedia.org/wiki/File:Bergamo,_Cappella_Colleoni,_2016-06_CN-01.jpg | CC BY-SA 4.0 | Steffen Schmitz
highlights/bergamo-4.jpg | https://commons.wikimedia.org/wiki/File:Mura_Venete_(Bergamo).jpg | CC BY 3.0 pl | Radosław Botev
highlights/bergamo-5.jpg | https://commons.wikimedia.org/wiki/File:Bergamo,_San_Vigilio_Funicular.JPG | CC BY-SA 4.0 | MOs810
highlights/bolzano-1.jpg | https://commons.wikimedia.org/wiki/File:Waltherplatz_Bozen_Luftansicht.jpg | CC BY-SA 4.0 | Aciarium
highlights/bolzano-2.jpg | https://commons.wikimedia.org/wiki/File:BozenArchMuseum.jpg | CC BY 3.0 | Hubert Berberich (HubiB)
highlights/bolzano-3.jpg | https://commons.wikimedia.org/wiki/File:Meran_Laubengasse_11.jpg | CC BY-SA 4.0 | Zairon
highlights/bolzano-4.jpg | https://commons.wikimedia.org/wiki/File:Renon-Ritten_earth_pyramids_20060225.jpg | Public domain | User:Julian Mendez
highlights/bolzano-5.jpg | https://commons.wikimedia.org/wiki/File:Duomo_di_bolzano,_01.JPG | CC BY-SA 3.0 | sailko
highlights/cagliari-1.jpg | https://commons.wikimedia.org/wiki/File:Castello_(Cagliari).jpg | CC BY-SA 3.0 it | Municipality of Cagliari
highlights/cagliari-2.jpg | https://commons.wikimedia.org/wiki/File:Bastione_di_San_Remy,_prospetto.jpg | CC BY-SA 4.0 | Elisa.Mnn
highlights/cagliari-3.jpg | https://commons.wikimedia.org/wiki/File:Poetto_beach.jpg | CC BY 2.0 | Chris
highlights/cagliari-4.jpg | https://commons.wikimedia.org/wiki/File:Greater_Flamingos_(Fenicottero_Rosa)_(Phoenicopterus_roseus)_-_Cagliari,_Italy_2024-04-01_(01).jpg | CC BY-SA 4.0 | Ryan Hodnett
highlights/cagliari-5.jpg | https://commons.wikimedia.org/wiki/File:Cagliari_Kathedrale.jpg | CC BY-SA 3.0 de | Martin Kraft
highlights/capri-1.jpg | https://commons.wikimedia.org/wiki/File:Grotta_azzurra.capri.JPG | CC BY-SA 4.0 | Elenagm
highlights/capri-2.jpg | https://commons.wikimedia.org/wiki/File:Capri_Portrait.jpg | CC BY-SA 4.0 | Mайкл Гиммельфарб
highlights/capri-3.jpg | https://commons.wikimedia.org/wiki/File:Al_Piccolo_Bar,_piazzetta_di_Capri.jpg | CC BY-SA 2.0 | Antonio Manfredonio
highlights/capri-4.jpg | https://commons.wikimedia.org/wiki/File:Capri_Centre_Belvedere.jpg | CC BY 3.0 | Paolo Costa Baldi
highlights/capri-5.jpg | https://commons.wikimedia.org/wiki/File:Giardini_di_Augusto_001.JPG | CC BY-SA 4.0 | Mentnafunangann
highlights/catania-1.jpg | https://commons.wikimedia.org/wiki/File:Elefante,_Catania.JPG | CC BY-SA 3.0 | Lucarelli
highlights/catania-2.jpg | https://commons.wikimedia.org/wiki/File:Catania,_pescheria_(fish_market).jpg | CC BY-SA 2.0 | jim
highlights/catania-3.jpg | https://commons.wikimedia.org/wiki/File:Giuseppe_Garibaldi_monument_in_Catania_2024a.jpg | CC BY-SA 4.0 | Cayambe
highlights/catania-4.jpg | https://commons.wikimedia.org/wiki/File:Castello_Ursino,_Catania_2024.jpg | CC BY-SA 4.0 | Cayambe
